iter	Logloss
0	0.5074861987
1	0.4086351764
2	0.3258544135
3	0.2807783794
4	0.2519727904
5	0.225129164
6	0.1953333797
7	0.1806023847
8	0.1711389361
9	0.1643442886
10	0.1571238316
11	0.1480730472
12	0.1445413651
13	0.1412967971
14	0.1374392003
15	0.1344211286
16	0.1314547629
17	0.1294309387
18	0.1278167499
19	0.1261626784
20	0.1243200749
21	0.1227129686
22	0.1217568799
23	0.1203179357
24	0.1190271754
25	0.1179490952
26	0.1164325707
27	0.1136675365
28	0.1120827555
29	0.1114336345
30	0.1102701569
31	0.1095397903
32	0.1089806508
33	0.1073829345
34	0.1068527
35	0.1063571483
36	0.1048206552
37	0.1038871839
38	0.1030546525
39	39	0.1017470440	40	0.1012071141	41	0.1005541542	42	0.1001841843	43	0.0996233444	044	0.0989970945	045	0.0981814546	046	0.0975042047	47	0.09685090648	48	0.09645433649	49	0.09547256750	50	0.09489922351	51	0.09458285552	52	0.09395461153	53	0.09351840754	54	0.09325601355	55	0.092870756	0.56	0.092770957	0.57	0.092438858	0.58	0.091902459	0.59	0.09167055133
60	0.09140946344
61	0.09117519994
62	0.09095404516
63	0.09065803801
64	0.09032111466
65	0.09014864555
66	0.08990267743
67	0.08976778361
68	0.08950890354
69	0.08930949313
70	0.08909507332
71	0.08891345096
72	0.08867364619
73	0.08828296709
74	0.08798012206
75	0.08774649291
76	0.08728937917
77	0.08711427928
78	0.08692032115
79	0.086661308
80	0.08647288918
81	0.08623796976
82	0.08589694447
83	0.08576026311
84	0.08562070154
85	0.08553920216
86	0.08534821177
87	0.08505267558
88	0.08481567833
89	0.0845140835
90	0.08411125735
91	0.08393768623
92	0.08370503902
93	0.08368505531
94	0.08315487739
95	0.08285522044
96	0.0825303473
97	0.08240644831
98	0.08210868986
99	0.08200136192
100	0.08185488581
101	0.08165061274
102	0.08147296643
103	0.0810445488
104	0.08094067186
105	0.08064513625
106	0.08036812653
107	0.08027091142
108	0.08017051246
109	0.08001235542
110	0.0799019183
111	0.07969512117
112	0.07965176246
113	0.0795768923
114	0.07933502768
115	0.07916048179
116	0.07901745807
117	0.07883122649
118	0.07869780045
119	0.078290619
120	0.078107706
121	0.07797047978
122	0.0777464768
123	0.07754914008
124	0.07741632886
125	0.07721957634
126	0.07715331424
127	0.07703339332
128	0.07696348511
129	0.07674973681
130	0.07666082006
131	0.07653856932
132	0.0762935619
133	0.07623352012
134	0.0760635627
135	0.07577634484
136	0.07563356434
137	0.07550040756
138	0.07528418247
139	0.07512428239
140	0.07484327024
141	0.07468288093
142	0.07446627732
143	0.07418231493
144	0.07404973935
145	0.07384676676
146	0.07379736806
147	0.07360311381
148	0.07352481989
149	0.07325630891
150	0.07307181024
151	0.0728957894
152	0.07276663271
153	0.07269101328
154	0.07239204608
155	0.07227329593
156	0.07205218419
157	0.07189434239
158	0.07167263216
159	0.07153621394
160	0.07135069108
161	0.07122381023
162	0.07107144631
163	0.0708953243
164	0.07077658833
165	0.07069739299
166	0.07060723796
167	0.07049862068
168	0.07033529149
169	0.07018010225
170	0.07008637256
171	0.07003394277
172	0.06996292009
173	0.06988450501
174	0.06981094926
175	0.06969618591
176	0.06958395213
177	0.0695384661
178	0.06930295503
179	0.06918263117
180	0.06911201826
181	0.06905952698
182	0.06885159234
183	0.06870082076
184	0.06855172819
185	0.06843404962
186	0.06829534911
187	0.0682190823
188	0.06811792774
189	0.06799608358
190	0.06796590617
191	0.06777001671
192	0.06760901062
193	0.06751135693
194	0.06740034098
195	0.06730438635
196	0.0671950016
197	0.06709899958
198	0.06694568214
199	0.06686438051
200	0.06683506193
201	0.06674905167
202	0.06656051754
203	0.06651669039
204	0.06630468287
205	0.06614196108
206	0.06599647946
207	0.06586458789
208	0.0657778892
209	0.06561769457
210	0.06542970167
211	0.06531824287
212	0.06516244158
213	0.06502936918
214	0.06492505324
215	0.06481234812
216	0.06477568516
217	0.06473576666
218	0.06466997562
219	0.06458147427
220	0.06448858486
221	0.06436311286
222	0.06427309088
223	0.06417781729
224	0.06413153144
225	0.06400244496
226	0.06387250642
227	0.063779565
228	0.0636476277
229	0.06352643477
230	0.06334036052
231	0.06322717489
232	0.06299743565
233	0.0628976289
234	0.06283941965
235	0.06266071782
236	0.06242626437
237	0.06238514518
238	0.06231721015
239	0.06221271296
240	0.062072922
241	0.06202663636
242	0.06197647279
243	0.06193609155
244	0.06182922858
245	0.06176436038
246	0.06169526147
247	0.06153096487
248	0.06150670256
249	0.06144166542
250	0.06136233794
251	0.06119767773
252	0.0610826832
253	0.06101185911
254	0.06091211593
255	0.06080027729
256	0.06072259733
257	0.06063851679
258	0.06053857673
259	0.06042618723
260	0.06036055626
261	0.06026771389
262	0.06016225726
263	0.06009669232
264	0.05992933225
265	0.05983175814
266	0.05968562728
267	0.05959493651
268	0.05954404803
269	0.05946715871
270	0.05933127768
271	0.05921987493
272	0.05916292777
273	0.05909728927
274	0.05898800134
275	0.05897755988
276	0.05888742761
277	0.05880138741
278	0.05876439708
279	0.05865746523
280	0.05855584356
281	0.05851763864
282	0.05843023226
283	0.05837493359
284	0.05825670136
285	0.0581952825
286	0.05815403785
287	0.05805145122
288	0.05793613708
289	0.05785280511
290	0.05776869433
291	0.05773693683
292	0.05763482007
293	0.05753946503
294	0.05742860538
295	0.0573353339
296	0.05728802471
297	0.05723902327
298	0.05721533597
299	0.05716138646
957402
